,Time,Probs
<<<<<<< HEAD
0,-1 days +08:34:17.574532000,0.0
1,-1 days +08:39:17.574532000,0.0
2,-1 days +08:44:17.574532000,0.005681818181818182
3,-1 days +08:49:17.574532000,0.0
4,-1 days +08:54:17.574532000,0.0
5,-1 days +08:59:17.574532000,0.0
6,-1 days +09:04:17.574532000,0.0
7,-1 days +09:09:17.574532000,0.0
8,-1 days +09:14:17.574532000,0.0
9,-1 days +09:19:17.574532000,0.0
10,-1 days +09:24:17.574532000,0.0
11,-1 days +09:29:17.574532000,0.0
12,-1 days +09:34:17.574532000,0.0
13,-1 days +09:39:17.574532000,0.0
14,-1 days +09:44:17.574532000,0.005681818181818182
15,-1 days +09:49:17.574532000,0.005681818181818182
16,-1 days +09:54:17.574532000,0.0
17,-1 days +09:59:17.574532000,0.0
18,-1 days +10:04:17.574532000,0.0
19,-1 days +10:09:17.574532000,0.0
20,-1 days +10:14:17.574532000,0.0
21,-1 days +10:19:17.574532000,0.0
22,-1 days +10:24:17.574532000,0.0
23,-1 days +10:29:17.574532000,0.0
24,-1 days +10:34:17.574532000,0.0
25,-1 days +10:39:17.574532000,0.0
26,-1 days +10:44:17.574532000,0.0
27,-1 days +10:49:17.574532000,0.0
28,-1 days +10:54:17.574532000,0.0
29,-1 days +10:59:17.574532000,0.0
30,-1 days +11:04:17.574532000,0.0
31,-1 days +11:09:17.574532000,0.0
32,-1 days +11:14:17.574532000,0.0
33,-1 days +11:19:17.574532000,0.0
34,-1 days +11:24:17.574532000,0.0
35,-1 days +11:29:17.574532000,0.0
36,-1 days +11:34:17.574532000,0.0
37,-1 days +11:39:17.574532000,0.0
38,-1 days +11:44:17.574532000,0.0
39,-1 days +11:49:17.574532000,0.0
40,-1 days +11:54:17.574532000,0.0
41,-1 days +11:59:17.574532000,0.0
42,-1 days +12:04:17.574532000,0.0
43,-1 days +12:09:17.574532000,0.0
44,-1 days +12:14:17.574532000,0.0
45,-1 days +12:19:17.574532000,0.0
46,-1 days +12:24:17.574532000,0.0
47,-1 days +12:29:17.574532000,0.0
48,-1 days +12:34:17.574532000,0.0
49,-1 days +12:39:17.574532000,0.0
50,-1 days +12:44:17.574532000,0.0
51,-1 days +12:49:17.574532000,0.0
52,-1 days +12:54:17.574532000,0.0
53,-1 days +12:59:17.574532000,0.0
54,-1 days +13:04:17.574532000,0.0
55,-1 days +13:09:17.574532000,0.0
56,-1 days +13:14:17.574532000,0.011363636363636364
57,-1 days +13:19:17.574532000,0.0
58,-1 days +13:24:17.574532000,0.0
59,-1 days +13:29:17.574532000,0.0
60,-1 days +13:34:17.574532000,0.0
61,-1 days +13:39:17.574532000,0.0
62,-1 days +13:44:17.574532000,0.0
63,-1 days +13:49:17.574532000,0.005681818181818182
64,-1 days +13:54:17.574532000,0.0
65,-1 days +13:59:17.574532000,0.005681818181818182
66,-1 days +14:04:17.574532000,0.005681818181818182
67,-1 days +14:09:17.574532000,0.0
68,-1 days +14:14:17.574532000,0.0
69,-1 days +14:19:17.574532000,0.0
70,-1 days +14:24:17.574532000,0.0
71,-1 days +14:29:17.574532000,0.005681818181818182
72,-1 days +14:34:17.574532000,0.005681818181818182
73,-1 days +14:39:17.574532000,0.0
74,-1 days +14:44:17.574532000,0.017045454545454544
75,-1 days +14:49:17.574532000,0.011363636363636364
76,-1 days +14:54:17.574532000,0.005681818181818182
77,-1 days +14:59:17.574532000,0.011363636363636364
78,-1 days +15:04:17.574532000,0.005681818181818182
79,-1 days +15:09:17.574532000,0.011363636363636364
80,-1 days +15:14:17.574532000,0.005681818181818182
81,-1 days +15:19:17.574532000,0.005681818181818182
82,-1 days +15:24:17.574532000,0.005681818181818182
83,-1 days +15:29:17.574532000,0.011363636363636364
84,-1 days +15:34:17.574532000,0.005681818181818182
85,-1 days +15:39:17.574532000,0.0
86,-1 days +15:44:17.574532000,0.011363636363636364
87,-1 days +15:49:17.574532000,0.011363636363636364
88,-1 days +15:54:17.574532000,0.005681818181818182
89,-1 days +15:59:17.574532000,0.005681818181818182
90,-1 days +16:04:17.574532000,0.005681818181818182
91,-1 days +16:09:17.574532000,0.005681818181818182
92,-1 days +16:14:17.574532000,0.005681818181818182
93,-1 days +16:19:17.574532000,0.005681818181818182
94,-1 days +16:24:17.574532000,0.0
95,-1 days +16:29:17.574532000,0.005681818181818182
96,-1 days +16:34:17.574532000,0.005681818181818182
97,-1 days +16:39:17.574532000,0.0
98,-1 days +16:44:17.574532000,0.0
99,-1 days +16:49:17.574532000,0.005681818181818182
100,-1 days +16:54:17.574532000,0.0
101,-1 days +16:59:17.574532000,0.005681818181818182
102,-1 days +17:04:17.574532000,0.011363636363636364
103,-1 days +17:09:17.574532000,0.0
104,-1 days +17:14:17.574532000,0.0
105,-1 days +17:19:17.574532000,0.0
106,-1 days +17:24:17.574532000,0.005681818181818182
107,-1 days +17:29:17.574532000,0.0
108,-1 days +17:34:17.574532000,0.005681818181818182
109,-1 days +17:39:17.574532000,0.0
110,-1 days +17:44:17.574532000,0.0
111,-1 days +17:49:17.574532000,0.0
