,Time,Probs
0,-1 days +08:34:17.180620000,0.005681818181818182
1,-1 days +08:46:17.180620000,0.0
2,-1 days +08:58:17.180620000,0.0
3,-1 days +09:10:17.180620000,0.0
4,-1 days +09:22:17.180620000,0.0
5,-1 days +09:34:17.180620000,0.005681818181818182
6,-1 days +09:46:17.180620000,0.005681818181818182
7,-1 days +09:58:17.180620000,0.0
8,-1 days +10:10:17.180620000,0.0
9,-1 days +10:22:17.180620000,0.0
10,-1 days +10:34:17.180620000,0.0
11,-1 days +10:46:17.180620000,0.0
12,-1 days +10:58:17.180620000,0.0
13,-1 days +11:10:17.180620000,0.0
14,-1 days +11:22:17.180620000,0.0
15,-1 days +11:34:17.180620000,0.0
16,-1 days +11:46:17.180620000,0.0
17,-1 days +11:58:17.180620000,0.0
18,-1 days +12:10:17.180620000,0.0
19,-1 days +12:22:17.180620000,0.0
20,-1 days +12:34:17.180620000,0.0
21,-1 days +12:46:17.180620000,0.0
22,-1 days +12:58:17.180620000,0.0
23,-1 days +13:10:17.180620000,0.011363636363636364
24,-1 days +13:22:17.180620000,0.0
25,-1 days +13:34:17.180620000,0.0
26,-1 days +13:46:17.180620000,0.005681818181818182
27,-1 days +13:58:17.180620000,0.011363636363636364
28,-1 days +14:10:17.180620000,0.0
29,-1 days +14:22:17.180620000,0.005681818181818182
30,-1 days +14:34:17.180620000,0.022727272727272728
31,-1 days +14:46:17.180620000,0.017045454545454544
32,-1 days +14:58:17.180620000,0.022727272727272728
33,-1 days +15:10:17.180620000,0.017045454545454544
34,-1 days +15:22:17.180620000,0.017045454545454544
35,-1 days +15:34:17.180620000,0.011363636363636364
36,-1 days +15:46:17.180620000,0.022727272727272728
37,-1 days +15:58:17.180620000,0.011363636363636364
38,-1 days +16:10:17.180620000,0.017045454545454544
39,-1 days +16:22:17.180620000,0.005681818181818182
40,-1 days +16:34:17.180620000,0.005681818181818182
41,-1 days +16:46:17.180620000,0.005681818181818182
42,-1 days +16:58:17.180620000,0.017045454545454544
43,-1 days +17:10:17.180620000,0.0
44,-1 days +17:22:17.180620000,0.005681818181818182
45,-1 days +17:34:17.180620000,0.005681818181818182
46,-1 days +17:46:17.180620000,0.005681818181818182
47,-1 days +17:58:17.180620000,0.0
48,-1 days +18:10:17.180620000,0.005681818181818182
49,-1 days +18:22:17.180620000,0.0
50,-1 days +18:34:17.180620000,0.0
51,-1 days +18:46:17.180620000,0.017045454545454544
52,-1 days +18:58:17.180620000,0.017045454545454544
53,-1 days +19:10:17.180620000,0.0
54,-1 days +19:22:17.180620000,0.017045454545454544
55,-1 days +19:34:17.180620000,0.005681818181818182
56,-1 days +19:46:17.180620000,0.011363636363636364
57,-1 days +19:58:17.180620000,0.005681818181818182
58,-1 days +20:10:17.180620000,0.005681818181818182
59,-1 days +20:22:17.180620000,0.017045454545454544
60,-1 days +20:34:17.180620000,0.017045454545454544
61,-1 days +20:46:17.180620000,0.017045454545454544
62,-1 days +20:58:17.180620000,0.011363636363636364
63,-1 days +21:10:17.180620000,0.005681818181818182
64,-1 days +21:22:17.180620000,0.011363636363636364
65,-1 days +21:34:17.180620000,0.0
66,-1 days +21:46:17.180620000,0.011363636363636364
